Material,Centro,Motivo movimiento,Clase de movimiento,Fecha contabiliz.,Impte.mon.local,Orden,Pedido,Almacén,Texto breve material,Cantidad en UM ped.,Cantidad,Grupo planif.,Clase de pedido
17000007,P100,0,Salida Material orden,21/08/2025,3810,60002815,,P124,"Abrazadera cremallera inox ¾""",0,1.0,Infraestructura,Material
17000028,P100,0,Salida Material orden,13/05/2025,32773,60000492,,P124,Acido nitrico,0,1.0,Infraestructura,Material
17000028,P100,0,Salida Material orden,09/05/2025,32773,60000543,,P124,Acido nitrico,0,1.0,Infraestructura,Material
17000032,P100,0,Salida Material orden,21/08/2025,8000,60002815,,P124,"Juego acople manguera jardin bronce ½""",0,1.0,Infraestructura,Material
17000063,P100,0,Salida Material orden,18/06/2025,84033,70000633,,P124,Acronal al 50% gaL,0,2.0,Infraestructura,Material
17000067,P100,0,Salida Material orden,30/09/2025,655,60002636,,P124,"Adaptador hembra presion pvc ½""",0,2.0,Infraestructura,Material
17000067,P100,0,Salida Material orden,25/04/2025,593,60000333,,P124,"Adaptador hembra presion pvc ½""",0,2.0,Infraestructura,Material
17000081,P100,0,Salida Material orden,30/09/2025,585,60002636,,P124,"Adaptador macho presion pvc ½""",0,2.0,Infraestructura,Material
17000081,P100,0,Salida Material orden,25/04/2025,585,60000333,,P124,"Adaptador macho presion pvc ½""",0,2.0,Infraestructura,Material
17000105,P100,0,Salida Material orden,18/06/2025,96807,70000633,,P124,Ajustador epoxico x gal,0,2.0,Infraestructura,Material
17000105,P100,0,Salida Material orden,09/06/2025,48403,70000439,,P124,Ajustador epoxico x gal,0,1.0,Infraestructura,Material
17000147,P100,0,Salida Material orden,11/08/2025,318756,60000672,,P124,"Angulo inox 1 ½"" x ⅛""",0,2.0,Infraestructura,Material
17000151,P100,0,Salida Material orden,04/09/2025,150614,60003132,,P124,"Angulo inox 1"" x 3/16""",0,1.0,Infraestructura,Material
17000158,P100,0,Salida Material orden,12/04/2025,66654,60000136,,P124,Anticorrosivo grs brillante x gal,0,1.0,Infraestructura,Material
17000173,P100,0,Salida Material orden,21/10/2025,1170,70002834,,P124,"Arandela plana inox ¼""",0,20.0,Frigoristas,Material
17000173,P100,0,Salida Material orden,16/09/2025,162,60003406,,P124,"Arandela plana inox ¼""",0,2.0,Frigoristas,Material
17000173,P100,0,Salida Material orden,12/06/2025,304,70000264,,P124,"Arandela plana inox ¼""",0,4.0,Frigoristas,Material
17000174,P100,0,Salida Material orden,21/10/2025,560,70002834,,P124,"Arandela plana inox ⅜""",0,8.0,Frigoristas,Material
17000174,P100,0,Salida Material orden,23/08/2025,535,60002846,,P124,"Arandela plana inox ⅜""",0,6.0,Infraestructura,Material
17000174,P100,0,Salida Material orden,04/08/2025,1247,60002407,,P124,"Arandela plana inox ⅜""",0,14.0,Frigoristas,Material
17000174,P100,0,Salida Material orden,17/07/2025,356,70000863,,P124,"Arandela plana inox ⅜""",0,4.0,Frigoristas,Material
17000180,P100,0,Salida Material orden,20/10/2025,615,70003086,,P124,"Arandela plana inox 3/16""",0,12.0,Frigoristas,Material
17000182,P100,0,Salida Material orden,20/10/2025,919,70003086,,P124,"Arandela plana inox 5/16""",0,12.0,Frigoristas,Material
17000182,P100,0,Salida Material orden,10/07/2025,1309,60000204,,P124,"Arandela plana inox 5/16""",0,10.0,Frigoristas,Material
17000182,P100,0,Salida Material orden,02/07/2025,785,70000284,,P124,"Arandela plana inox 5/16""",0,6.0,Frigoristas,Material
17000182,P100,0,Salida Material orden,26/06/2025,3926,60000204,,P124,"Arandela plana inox 5/16""",0,30.0,Frigoristas,Material
