Orden,Clase de orden,Texto breve,Ce.emplazam.,Grupo planif.,Aviso,Cst.tot.reales,Status sistema,Fecha creación,Fecha fin real,Fecha ref.,Ubicac.técnica,Descripción,region,Dia_promedio,Grupo,asignacion_equipos
4000000,Correctivo,vitrina refrigeracion,C220,frigoristas,100000518.0,212337,Cerrado,2025-04-21,2025-05-02,02/05/2025,1000-C220-N00-SAGEPV,vitrina refrigeracion n°01,Antioquia,11,Vitrinas,Vitrinas refrigeracion
4000021,Correctivo,Persiana,C100,infraestructura,100000572.0,9268214,Cerrado,2025-06-04,2025-04-25,04/06/2025,1000-C100-N00-ZINGPV,,Antioquia,-40,Grupo Infraestructura,
4000022,Correctivo,temperatura alta en cava cong,C350,frigoristas,100001871.0,300359,Cerrado,2025-06-05,2025-06-05,17/06/2025,1000-C350-N00-CAVCON,controlador cava congelacion n°01,Centro,0,Cavas,Cava de congelacion
4000023,Correctivo,Vitrina Con Temperatura Alta #1,C360,frigoristas,100001798.0,225000,Cerrado,2025-06-06,,04/08/2025,1000-C360-N00-SAGEPV,vitrina refrigeracion n°01,Valle,0,Vitrinas,Vitrinas refrigeracion
4000024,Correctivo,TABLERO CAVA DE CONGELACION,C320,frigoristas,100001789.0,0,Cerrado,2025-06-06,,21/06/2025,1000-C320-N00-CAVCON,evaporador cava congelacion n°01,Zona Costera,0,Cavas,Cava de congelacion
4000040,Correctivo,fuga de aguan en lavamanos empleados,C210,infraestructura,100002763.0,55691,Cerrado,2025-07-23,2025-07-10,23/07/2025,1000-C210-N00-810,,Antioquia,-13,Grupo Infraestructura,
4000041,Correctivo,Pintura area de financiera,A290,infraestructura,100003124.0,6175719,Liberado,2025-07-23,,23/07/2025,1000-A290-N03,,Antioquia,0,Grupo Infraestructura,
4000060,Correctivo,BALANZA DE REPESO.,C180,metrologia,100004948.0,43163,Liberado,2025-09-25,2025-09-25,25/09/2025,1000-C180-N00-SAGEPV-001,balanza repeso n°01,Antioquia,0,Otras Balanzas,Balanza repeso
4000061,Correctivo,BASCULA REPESO PARRILLA,C580,metrologia,100004990.0,0,Abierto,2025-09-25,,25/09/2025,1000-C580-N00-SAGEPV-001,balanza repeso n°01,Antioquia,0,Otras Balanzas,Balanza repeso
4000080,Correctivo,sierra sinfin mal estado,C210,electromecanico,100005211.0,0,Cerrado,2025-10-06,,09/10/2025,1000-C210-N00-SAPRPV,sierra sin fin,Antioquia,0,Equipos de corte,Sierras sin fin
4000081,Correctivo,Arreglo vitrina refrigeración #4,C190,frigoristas,100005401.0,38838,Cerrado,2025-10-14,2025-10-21,21/10/2025,1000-C190-N00-SAGEPV,vitrina refrigeracion n°01,Antioquia,7,Vitrinas,Vitrinas refrigeracion
60000105,Correctivo,Reparacion cortina,C160,infraestructura,100000247.0,2060112,Cerrado,2025-04-11,2025-04-11,11/04/2025,1000-C160-N00-ZINGPV,,Antioquia,0,Grupo Infraestructura,
60000107,Correctivo,daño sierra sin fin,C160,electromecanico,100000244.0,2060112,Cerrado,2025-04-11,2025-04-11,11/04/2025,1000-C160-N00-SAPRPV,sierra sin fin,Antioquia,0,Equipos de corte,Sierras sin fin
60000109,Correctivo,bascula de piso,C120,metrologia,100000234.0,1510749,Cerrado,2025-04-11,2025-04-11,11/04/2025,1000-C120-N00-ZINGPV,bascula plataforma,Antioquia,0,Otras Balanzas,Balanza plataforma
